datetime,targetLatency,sourceLatency
2017-11-27T20:09:59,39,88
2017-11-27T20:10:29,41,13
2017-11-27T20:10:59,43,38
2017-11-27T20:11:29,43,66
2017-11-27T20:11:59,46,90
2017-11-27T20:12:29,54,09
2017-11-27T20:12:59,52,38
2017-11-27T20:13:29,54,63
2017-11-27T20:13:59,56,88
2017-11-27T20:14:29,56,15
2017-11-27T20:14:59,54,44
2017-11-27T20:15:29,58,68
2017-11-27T20:15:59,61,92
2017-11-27T20:16:29,61,20
2017-11-27T20:16:59,61,48
2017-11-27T20:17:29,63,74
2017-11-27T20:17:59,64,01
2017-11-27T20:18:29,64,28
2017-11-27T20:18:59,62,56
2017-11-27T20:19:29,55,84
2017-11-27T20:19:59,57,08
2017-11-27T20:20:29,61,32
2017-11-27T20:20:59,60,61
2017-11-27T20:21:29,57,89
2017-11-27T20:21:59,59,15
2017-11-27T20:22:29,58,41
2017-11-27T20:22:59,59,68
2017-11-27T20:23:29,58,96
2017-11-27T20:23:59,61,21
2017-11-27T20:24:29,63,47
2017-11-27T20:24:59,63,73
2017-11-27T20:25:29,62,01
2017-11-27T20:25:59,63,26
2017-11-27T20:26:29,64,53
2017-11-27T20:26:59,65,79
2017-11-27T20:27:29,63,07
2017-11-27T20:27:59,65,33
2017-11-27T20:28:29,67,58
2017-11-27T20:28:59,66,85
2017-11-27T20:29:29,63,13
2017-11-27T20:29:59,63,38
2017-11-27T20:30:29,64,64
2017-11-27T20:30:59,65,88
2017-11-27T20:31:29,62,16
2017-11-27T20:31:59,66,38
2017-11-27T20:32:29,67,62
2017-11-27T20:32:59,68,87
2017-11-27T20:33:29,65,15
2017-11-27T20:33:59,69,39
2017-11-27T20:34:29,71,65
2017-11-27T20:34:59,72,92
2017-11-27T20:35:29,71,20
2017-11-27T20:35:59,72,47
2017-11-27T20:36:29,74,73
2017-11-27T20:36:59,75,99
2017-11-27T20:37:29,74,26
2017-11-27T20:37:59,76,51
2017-11-27T20:38:29,76,77
2017-11-27T20:38:59,78,04
2017-11-27T20:39:29,77,32
2017-11-27T20:39:59,75,61
2017-11-27T20:40:29,77,85
2017-11-27T20:40:59,77,10
2017-11-27T20:41:29,76,38
2017-11-27T20:41:59,74,66
2017-11-27T20:42:29,75,92
2017-11-27T20:42:59,76,18
2017-11-27T20:43:29,77,45
2017-11-27T20:43:59,75,74
2017-11-27T20:44:29,75,01
2017-11-27T20:44:59,77,26
2017-11-27T20:45:29,76,54
2017-11-27T20:45:59,77,80
2017-11-27T20:46:29,76,08
2017-11-27T20:46:59,79,33
2017-11-27T20:47:29,77,60
2017-11-27T20:47:59,77,87
2017-11-27T20:48:29,75,14
2017-11-27T20:48:59,77,38
2017-11-27T20:49:29,77,64
2017-11-27T20:49:59,77,91
2017-11-27T20:50:29,76,20
2017-11-27T20:50:59,78,44
2017-11-27T20:51:29,80,70
2017-11-27T20:51:59,80,97
2017-11-27T20:52:29,79,25
2017-11-27T20:52:59,80,50
2017-11-27T20:53:29,86,71
2017-11-27T20:53:59,85,00
2017-11-27T20:54:29,83,27
2017-11-27T20:54:59,83,53
2017-11-27T20:55:29,84,80
2017-11-27T20:55:59,84,04
2017-11-27T20:56:29,82,33
2017-11-27T20:56:59,79,61
2017-11-27T20:57:29,83,84
2017-11-27T20:57:59,84,10
2017-11-27T20:58:29,85,37
2017-11-27T20:58:59,86,62
2017-11-27T20:59:29,88,87
2017-11-27T20:59:59,90,12
2017-11-27T21:00:29,93,37
2017-11-27T21:00:59,95,62
2017-11-27T21:01:29,95,87
2017-11-27T21:01:59,95,15
2017-11-27T21:02:29,98,40
2017-11-27T21:02:59,00,65
2017-11-27T21:03:29,00,92
2017-11-27T21:03:59,03,15
2017-11-27T21:04:29,06,37
2017-11-27T21:04:59,07,63
2017-11-27T21:05:29,10,88
2017-11-27T21:05:59,06,13
2017-11-27T21:06:29,06,41
2017-11-27T21:06:59,06,68
2017-11-27T21:07:29,09,92
2017-11-27T21:07:59,12,16
2017-11-27T21:08:29,11,45
2017-11-27T21:08:59,12,70
2017-11-27T21:09:29,15,94
2017-11-27T21:09:59,13,21
2017-11-27T21:10:29,17,45
2017-11-27T21:10:59,17,71
2017-11-27T21:11:29,19,97
2017-11-27T21:11:59,19,23
2017-11-27T21:12:29,21,48
2017-11-27T21:12:59,25,73
2017-11-27T21:13:29,23,01
2017-11-27T21:13:59,26,24
2017-11-27T21:14:29,28,47
2017-11-27T21:14:59,27,75
2017-11-27T21:15:29,31,98
2017-11-27T21:15:59,32,24
2017-11-27T21:16:29,33,49
2017-11-27T21:16:59,35,75
2017-11-27T21:17:29,36,00
2017-11-27T21:17:59,39,24
2017-11-27T21:18:29,42,47
2017-11-27T21:18:59,48,68
2017-11-27T21:19:29,50,93
2017-11-27T21:19:59,54,16
2017-11-27T21:20:29,57,40
2017-11-27T21:20:59,57,67
2017-11-27T21:21:29,60,90
2017-11-27T21:21:59,63,15
2017-11-27T21:22:29,65,40
2017-11-27T21:22:59,67,65
2017-11-27T21:23:29,68,90
2017-11-27T21:23:59,70,16
2017-11-27T21:24:29,75,38
2017-11-27T21:24:59,75,64
2017-11-27T21:25:29,85,82
2017-11-27T21:25:59,84,08
2017-11-27T21:26:29,84,34
2017-11-27T21:26:59,82,61
2017-11-27T21:27:29,83,86
2017-11-27T21:27:59,84,10
2017-11-27T21:28:29,81,39
2017-11-27T21:28:59,82,63
2017-11-27T21:29:29,84,86
2017-11-27T21:29:59,82,14
2017-11-27T21:30:29,86,38
2017-11-27T21:30:59,89,62
2017-11-27T21:31:29,88,89
2017-11-27T21:31:59,91,14
2017-11-27T21:32:29,95,37
2017-11-27T21:32:59,96,63
2017-11-27T21:33:29,96,89
2017-11-27T21:33:59,97,14
2017-11-27T21:34:29,98,40
2017-11-27T21:34:59,97,69
2017-11-27T21:35:29,02,91
2017-11-27T21:35:59,05,15
2017-11-27T21:36:29,04,43
2017-11-27T21:36:59,05,69
2017-11-27T21:37:29,06,94
2017-11-27T21:37:59,06,20
2017-11-27T21:38:29,05,48
2017-11-27T21:38:59,10,71
2017-11-27T21:39:29,11,97
2017-11-27T21:39:59,12,23
2017-11-27T21:40:29,11,51
2017-11-27T21:40:59,14,75
2017-11-27T21:41:29,14,02
2017-11-27T21:41:59,14,30
2017-11-27T21:42:29,12,59
2017-11-27T21:42:59,16,82
2017-11-27T21:43:29,17,08
